log_level,message,Drain_cluster_id,KMeans_cluster_id,template
INFO,closed socket connection for client /10.10.34.17:51214 which had sessionid 0x14ede63a5a70053,7,14,closed socket connection for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> which had sessionid <*>
INFO,"expiring session 0x34ede65503f005c, timeout of 10000ms exceeded",17,40,expiring session <*> timeout of 10000ms exceeded
INFO,"expiring session 0x24ede63a01b0062, timeout of 10000ms exceeded",17,16,expiring session <*> timeout of 10000ms exceeded
WARN,******* goodbye /10.10.34.12:35276 ********,18,12,******* goodbye /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> ********
,"2015-07-30 23:43:23,613 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumpeer@670] - looking",19,34,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:quorumpeer@<NUM>] - looking"
,"2015-07-30 23:44:01,784 - warn  [workersender[myid=1]:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn [workersender[myid=<NUM>]:quorumcnxmanager@<NUM>] - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-07-30 23:44:04,784 - warn  [workersender[myid=1]:quorumcnxmanager@368] - cannot open channel to 3 at election address /10.10.34.13:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn [workersender[myid=<NUM>]:quorumcnxmanager@<NUM>] - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-07-30 23:44:58,183 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
WARN,interrupting sendworker,6,1,interrupting sendworker
,"2015-07-30 23:52:26,272 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
WARN,connection request from old client /10.10.34.40:40996; will be dropped if server is in r-o mode,13,10,connection request from old client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>; will be dropped if server is in r-o mode
INFO,established session 0x14edfaa86f60013 with negotiated timeout 10000 for client /10.10.34.27:44600,10,7,established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,caught end of stream exception,8,9,caught end of stream exception
WARN,caught end of stream exception,8,9,caught end of stream exception
WARN,connection request from old client /10.10.34.16:39498; will be dropped if server is in r-o mode,13,10,connection request from old client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>; will be dropped if server is in r-o mode
INFO,closed socket connection for client /10.10.34.13:54485 which had sessionid 0x14edfaa86f60021,7,14,closed socket connection for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> which had sessionid <*>
INFO,accepted socket connection from /10.10.34.12:34568,11,18,accepted socket connection from /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,connection request from old client /10.10.34.25:58975; will be dropped if server is in r-o mode,13,10,connection request from old client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>; will be dropped if server is in r-o mode
WARN,connection request from old client /10.10.34.33:39730; will be dropped if server is in r-o mode,13,10,connection request from old client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>; will be dropped if server is in r-o mode
INFO,my election bind port: 0.0.0.0/0.0.0.0:3888,20,29,my election bind port: <NUM>.<NUM>.<NUM>.<NUM>/<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
,"2015-07-31 15:31:40,999 - info  [workersender[myid=1]:quorumcnxmanager@190] - have smaller server identifier, so dropping the connection: (2, 1)",21,15,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [workersender[myid=<NUM>]:quorumcnxmanager@<NUM>] - have smaller server identifier, so dropping the connection: (<NUM>, <NUM>)"
,"2015-07-31 15:31:42,213 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumpeer@738] - following",19,42,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:quorumpeer@<NUM>] - <*>"
,"2015-07-31 15:33:29,640 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-07-31 19:30:07,398 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumpeer@670] - looking",19,34,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:quorumpeer@<NUM>] - <*>"
,"2015-07-31 19:30:07,403 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@740] - new election. my id =  1, proposed zxid=0x700000000",22,41,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - new election. my id = <NUM>, proposed zxid=0x700000000"
,"2015-07-31 19:30:07,445 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:environment@100] - server environment:host.name=mesos-master-1",14,25,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:environment@<NUM>] - server <*>"
,"2015-07-31 19:30:07,452 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:follower@63] - following - leader election took - 49",23,31,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:follower@<NUM>] - following - leader election took - <NUM>"
INFO,established session 0x14ee3e057ed000c with negotiated timeout 10000 for client /10.10.34.37:49834,10,7,established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,accepted socket connection from /10.10.34.11:40061,11,18,accepted socket connection from /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,client attempting to establish new session at /10.10.34.11:40061,9,37,client attempting to <*> <*> <*> at /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,connection request from old client /10.10.34.13:39525; will be dropped if server is in r-o mode,13,10,connection request from old client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>; will be dropped if server is in r-o mode
WARN,connection request from old client /10.10.34.35:48971; will be dropped if server is in r-o mode,13,10,connection request from old client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>; will be dropped if server is in r-o mode
WARN,caught end of stream exception,8,9,caught end of stream exception
INFO,established session 0x14ee3e057ed002c with negotiated timeout 10000 for client /10.10.34.19:43049,10,7,established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,client attempting to establish new session at /10.10.34.40:58713,9,11,client attempting to <*> <*> <*> at /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,closed socket connection for client /10.10.34.12:59661 which had sessionid 0x14ee3e057ed0027,7,33,closed socket connection for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> which had sessionid <*>
,"2015-08-07 07:27:47,425 - info  [workerreceiver[myid=1]:fastleaderelection@542] - notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), leading (n.state), 3 (n.sid), 0x7 (n.peerepoch), looking (my state)",24,15,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [workerreceiver[myid=<NUM>]:fastleaderelection@<NUM>] - notification: <NUM> (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), leading (n.state), <NUM> (n.sid), 0x7 (n.peerepoch), looking (my state)"
,"2015-08-07 07:27:47,650 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:follower@63] - following - leader election took - 238",23,31,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:follower@<NUM>] - following - leader election took - <NUM>"
INFO,established session 0x14f05578bd80002 with negotiated timeout 10000 for client /10.10.34.12:46262,10,7,established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,caught end of stream exception,8,9,caught end of stream exception
INFO,client attempting to establish new session at /10.10.34.15:54175,9,11,client attempting to <*> <*> <*> at /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,connection request from old client /10.10.34.16:40418; will be dropped if server is in r-o mode,13,10,connection request from old client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>; will be dropped if server is in r-o mode
INFO,closed socket connection for client /10.10.34.19:57338 which had sessionid 0x14f05578bd8000d,7,33,closed socket connection for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> which had sessionid <*>
WARN,caught end of stream exception,8,9,caught end of stream exception
WARN,caught end of stream exception,8,9,caught end of stream exception
INFO,established session 0x14f05578bd80020 with negotiated timeout 10000 for client /10.10.34.11:38390,10,7,established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,autopurge.snapretaincount set to 3,25,17,autopurge.snapretaincount set to <NUM>
,"2015-08-10 18:23:50,332 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:environment@100] - server environment:java.vendor=oracle corporation",26,30,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:environment@<NUM>] - server environment:java.vendor=oracle corporation"
INFO,revalidating client: 0x14f05578bd80018,27,29,revalidating client: 0x14f05578bd80018
,"2015-08-10 18:23:52,649 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:zookeeperserver@595] - established session 0x14f05578bd80016 with negotiated timeout 10000 for client /10.10.34.13:38490",28,41,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:zookeeperserver@<NUM>] - established session 0x14f05578bd80016 with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-10 18:23:52,650 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:zookeeperserver@595] - established session 0x14f05578bd80013 with negotiated timeout 10000 for client /10.10.34.11:38530",28,41,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:zookeeperserver@<NUM>] - established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
INFO,client attempting to renew session 0x14f05578bd8001b at /10.10.34.20:56374,9,37,client attempting to <*> <*> <*> at /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
,"2015-08-10 18:25:22,080 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:environment@100] - server environment:zookeeper.version=3.4.5--1, built on 06/10/2013 17:26 gmt",29,25,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:environment@<NUM>] - server environment:zookeeper.version=<NUM>.<NUM>.<NUM>--<NUM>, built on <NUM>/<NUM>/<NUM> <NUM>:<NUM> gmt"
,"2015-08-10 18:25:22,082 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:environment@100] - server environment:user.name=zookeeper",14,25,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:environment@<NUM>] - server <*>"
INFO,revalidating client: 0x14f05578bd80013,27,29,revalidating client: <*>
WARN,caught end of stream exception,8,9,caught end of stream exception
INFO,closed socket connection for client /10.10.34.12:46331 which had sessionid 0x14f1724a6e80004,7,14,closed socket connection for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> which had sessionid <*>
INFO,received connection request /10.10.34.12:34051,2,26,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
,"2015-08-18 16:09:15,099 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:environment@100] - server environment:os.name=linux",14,25,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:environment@<NUM>] - server <*>"
INFO,accepted socket connection from /10.10.34.11:54839,11,18,accepted socket connection from /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,client attempting to establish new session at /10.10.34.12:58349,9,11,client attempting to <*> <*> <*> at /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,closed socket connection for client /10.10.34.11:56471 (no session established for client),30,39,closed socket connection for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> (no session established for client)
WARN,exception causing close of session 0x0 due to java.io.ioexception: zookeeperserver not running,31,21,exception causing close of session 0x0 due to java.io.ioexception: zookeeperserver not running
,"2015-08-20 17:14:12,326 - info  [workerreceiver[myid=1]:fastleaderelection@542] - notification: 2 (n.leader), 0xb00000084 (n.zxid), 0x2 (n.round), looking (n.state), 1 (n.sid), 0xb (n.peerepoch), looking (my state)",24,15,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [workerreceiver[myid=<NUM>]:fastleaderelection@<NUM>] - notification: <NUM> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <NUM> (n.sid), <*> (n.peerepoch), looking (my state)"
,"2015-08-20 17:14:23,824 - info  [workerreceiver[myid=1]:fastleaderelection@542] - notification: 3 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), looking (n.state), 3 (n.sid), 0xb (n.peerepoch), following (my state)",24,15,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [workerreceiver[myid=<NUM>]:fastleaderelection@<NUM>] - notification: <NUM> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <NUM> (n.sid), <*> (n.peerepoch), <*> (my state)"
INFO,established session 0x14f4a6318b80005 with negotiated timeout 10000 for client /10.10.34.11:56492,10,7,established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,client attempting to establish new session at /10.10.34.12:58913,9,11,client attempting to <*> <*> <*> at /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,accepted socket connection from /10.10.34.18:36934,11,27,accepted socket connection from /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,established session 0x14f4a6318b80013 with negotiated timeout 10000 for client /10.10.34.20:43137,10,7,established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,established session 0x14f4a6318b80022 with negotiated timeout 10000 for client /10.10.34.30:43272,10,7,established session <*> with negotiated timeout <NUM> for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,closed socket connection for client /10.10.34.35:48997 which had sessionid 0x14f4a6318b80024,7,14,closed socket connection for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> which had sessionid <*>
WARN,caught end of stream exception,8,9,caught end of stream exception
INFO,closed socket connection for client /10.10.34.12:58917 which had sessionid 0x14f4a6318b80018,7,14,closed socket connection for client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM> which had sessionid <*>
WARN,connection request from old client /10.10.34.13:50545; will be dropped if server is in r-o mode,13,10,connection request from old client /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>; will be dropped if server is in r-o mode
INFO,accepted socket connection from /10.10.34.30:43278,11,27,accepted socket connection from /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,accepted socket connection from /10.10.34.14:46136,11,27,accepted socket connection from /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,ticktime set to 2000,32,36,ticktime set to <NUM>
,"2015-08-24 15:27:03,681 - warn  [workersender[myid=1]:quorumcnxmanager@368] - cannot open channel to 3 at election address /10.10.34.13:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 15:29:13,641 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 3 at election address /10.10.34.13:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 15:36:13,663 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
,"2015-08-24 15:37:13,664 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 15:51:13,708 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
,"2015-08-24 15:55:13,717 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 15:57:13,723 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 16:02:13,739 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
,"2015-08-24 16:03:13,740 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 16:11:13,765 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
,"2015-08-24 16:12:13,767 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 3 at election address /10.10.34.13:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 16:37:13,837 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 16:51:13,876 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 3 at election address /10.10.34.13:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 17:29:13,977 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 3 at election address /10.10.34.13:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 17:39:14,002 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 18:02:14,063 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
,"2015-08-24 18:04:14,068 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
,"2015-08-24 18:28:14,133 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 18:31:14,142 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 3 at election address /10.10.34.13:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 18:41:14,170 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
,"2015-08-24 18:47:14,187 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 60000",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
,"2015-08-24 18:51:14,196 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 19:01:14,221 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 19:05:14,230 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
,"2015-08-24 19:09:14,240 - warn  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:quorumcnxmanager@368] - cannot open channel to 2 at election address /10.10.34.12:3888",15,8,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - warn <*> - cannot open channel to <NUM> at election address /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>"
